country_yq,country,year_quarter,year_quarter_aux,reer_index,exports_all,exports_imports,ca_gdp,debt_reserves,portfolio_pib,real_gdp_yoy,cpi_index,fiscal_gdp,creditgdp,lending_deposit,msci_index,fed_funds,vix,id,bo,br,cl,co,mx,py,pe,uy
AR1997Q2,AR,1997-Q2,1/4/1997,-0.122708734,-0.008135999,0.821562522,-0.028843011,1.473194154,0.005836052,0.080605326,0.007235206,0.008034135,0.352,1.501515152,0.01736781,0.055233333,0.000324741,1,0,0,0,0,0,0,0,0
AR1997Q3,AR,1997-Q3,1/7/1997,-0.134102659,0.023268488,0.811544772,-0.033455554,1.741359139,0.014373926,0.0836299,0.006415336,0.00943434,0.36,1.458461538,0.010918377,0.055333333,0.119194598,1,0,0,0,0,0,0,0,0
AR1997Q4,AR,1997-Q4,1/10/1997,-0.1278887,0.017532825,0.804265147,-0.037496575,2.028330144,0.004240129,0.07675455,0.000361512,0.008137933,0.373,1.60125,-0.199590027,0.055066667,0.18818467,1,0,0,0,0,0,0,0,0
AR1998Q1,AR,1998-Q1,1/1/1998,-0.141300097,-0.001109498,0.804091914,-0.040057263,2.150519537,0.012273383,0.059729785,0.005869922,0.007977992,0.377,1.366666667,-0.073928094,0.0552,-0.239391668,1,0,0,0,0,0,0,0,0
AR1998Q2,AR,1998-Q2,1/4/1998,-0.134952631,0.012301812,0.794117156,-0.041161117,2.005886812,0.012048223,0.068985343,0.011581571,0.01383562,0.383,1.419402985,-0.02622208,0.055,0.009785475,1,0,0,0,0,0,0,0,0
AR1998Q3,AR,1998-Q3,1/7/1998,-0.134870606,-0.027861892,0.795731432,-0.04224727,1.870709585,0.00838975,0.032464835,0.011368236,0.015552793,0.393,1.532098765,-0.28536146,0.055333333,0.323240554,1,0,0,0,0,0,0,0,0
AR1998Q4,AR,1998-Q4,1/10/1998,-0.114925468,-0.066858181,0.81563689,-0.043970244,1.546694972,-0.000163762,-0.004337165,0.007996015,0.015452163,0.403,1.566666667,-0.035352645,0.0486,-0.007236841,1,0,0,0,0,0,0,0,0
AR1999Q1,AR,1999-Q1,1/1/1999,-0.20408579,-0.030514296,0.853554859,-0.040116648,1.696678063,0.0021512,-0.024576058,-0.000418958,0.011230105,0.404,1.57195122,0.070736885,0.047333333,-0.080494276,1,0,0,0,0,0,0,0,0
AR1999Q2,AR,1999-Q2,1/4/1999,-0.186549622,-0.018933406,0.882091542,-0.038871964,1.980691949,-0.025244129,-0.049121116,-0.010863533,0.004104907,0.409,1.653623188,0.219452024,0.047466667,-0.110754821,1,0,0,0,0,0,0,0,0
AR1999Q3,AR,1999-Q3,1/7/1999,-0.188324955,0.001628529,0.836912771,-0.038208347,2.080664439,-0.000728345,-0.050601935,-0.018053473,0.005489981,0.404,1.275308642,0.064433246,0.050933333,-0.045062804,1,0,0,0,0,0,0,0,0
AR1999Q4,AR,1999-Q4,1/10/1999,-0.174826692,0.040603038,0.854630704,-0.038030636,1.664326597,0.007780301,-0.009437313,-0.017682666,0.00623964,0.404,1.274489796,0.052649486,0.053066667,-0.028812759,1,0,0,0,0,0,0,0,0
AR2000Q1,AR,2000-Q1,1/1/2000,-0.15162602,0.05370199,0.903259034,-0.036300138,1.818278606,0.008728396,-0.001768273,-0.012715711,0.009285198,0.389,1.383544304,0.171463047,0.056766667,0.02148309,1,0,0,0,0,0,0,0,0
AR2000Q2,AR,2000-Q2,1/4/2000,-0.143292973,0.018909829,0.941859818,-0.034477609,2.525646006,0.004167545,-0.003970943,-0.010716801,0.006876508,0.382,1.34556962,-0.128554071,0.062733333,0.073821427,1,0,0,0,0,0,0,0,0
AR2000Q3,AR,2000-Q3,1/7/2000,-0.135313595,0.003676615,0.952048709,-0.031282995,2.695721467,-0.011903531,-0.006121582,-0.007857299,0.005592009,0.379,1.402631579,-0.052532162,0.0652,-0.262533046,1,0,0,0,0,0,0,0,0
AR2000Q4,AR,2000-Q4,1/10/2000,-0.140520331,0.0338687,0.976342729,-0.028350908,2.679574531,-0.005190966,-0.019305529,-0.006383713,0.006148442,0.37,1.470754717,-0.18733804,0.064733333,0.305440483,1,0,0,0,0,0,0,0,0
AR2001Q1,AR,2001-Q1,1/1/2001,-0.112542882,-0.012813096,0.948644985,-0.026408399,2.959984666,-0.008701624,-0.020245241,-0.014079249,0.005209469,0.356,2.145555556,-0.003438823,0.055933333,-0.01121765,1,0,0,0,0,0,0,0,0
AR2001Q2,AR,2001-Q2,1/4/2001,-0.15153356,-0.003179379,1.031749639,-0.025168646,1.963185182,-0.005442263,-0.001679082,-0.001057249,2.86614E-05,0.37,1.3046875,-0.080714401,0.043266667,-0.072645531,1,0,0,0,0,0,0,0,0
AR2001Q3,AR,2001-Q3,1/7/2001,-0.158680538,-0.019232671,1.209410859,-0.01986405,1.837101369,-0.010170595,-0.049286767,-0.011401623,-0.001527036,0.355,1.374891775,-0.102171598,0.034966667,0.059100641,1,0,0,0,0,0,0,0,0
AR2001Q4,AR,2001-Q4,1/10/2001,-0.153586298,-0.052187168,1.435714838,-0.012243863,2.180090697,-0.008843317,-0.105098313,-0.016368306,-0.000464234,0.343,2.277073171,-0.023174106,0.021333333,0.095010229,1,0,0,0,0,0,0,0,0
AR2002Q1,AR,2002-Q1,1/1/2002,0.543780311,-0.017980785,2.083616754,0.00187669,1.663835955,-0.015478446,-0.163391204,0.0411098,0.006688862,0.628,2.821276596,0.157235191,0.017333333,-0.26742602,1,0,0,0,0,0,0,0,0
AR2002Q2,AR,2002-Q2,1/4/2002,0.856076586,-0.025531845,2.196068137,0.018915286,2.102040627,-0.011194768,-0.135117769,0.209101897,0.015741315,0.728,0.996381579,0.041410137,0.0175,0.013128825,1,0,0,0,0,0,0,0,0
AR2002Q3,AR,2002-Q3,1/7/2002,0.55149812,0.050978003,2.302737703,0.045034851,1.964560317,0.001291976,-0.097709471,0.307340514,0.020055459,0.66,0.781290323,-0.151497379,0.0174,0.482613657,1,0,0,0,0,0,0,0,0
AR2002Q4,AR,2002-Q4,1/10/2002,0.29972388,0.031211753,2.167698184,0.081945351,1.695054206,-0.016939164,-0.034171137,0.338656934,0.022461658,0.549,1.089641434,-0.041726647,0.014433333,-0.132168916,1,0,0,0,0,0,0,0,0
AR2003Q1,AR,2003-Q1,1/1/2003,0.108984824,0.061689002,2.096315859,0.087965519,1.593887085,-0.016134521,0.054171336,0.305419017,0.021324416,0.453,1.29893617,8.93091E-05,0.0125,-0.023181398,1,0,0,0,0,0,0,0,0
AR2003Q2,AR,2003-Q2,1/4/2003,0.00264318,0.064159321,1.911079977,0.086416364,1.5659802,-0.014399684,0.077490206,0.135703741,0.024826721,0.409,1.251408451,0.066605057,0.012466667,-0.332444906,1,0,0,0,0,0,0,0,0
AR2003Q3,AR,2003-Q3,1/7/2003,-0.044672388,-0.006159024,1.770768567,0.071282539,1.53674739,-0.003876976,0.101584975,0.050844445,0.034337869,0.392,2.839583333,0.169498619,0.010166667,-0.108357373,1,0,0,0,0,0,0,0,0
AR2003Q4,AR,2003-Q4,1/10/2003,-0.078051349,0.051949535,1.630202425,0.059948896,1.598763307,-0.019626835,0.117323526,0.036647945,0.038992599,0.373,2.797560976,0.130431505,0.009966667,-0.103117429,1,0,0,0,0,0,0,0,0
AR2004Q1,AR,2004-Q1,1/1/2004,-0.116444135,0.041688339,1.497507806,0.044626045,1.291886274,-0.024119615,0.112574148,0.02396506,0.035786978,0.338,4.168,0.125717101,0.010033333,-0.045137032,1,0,0,0,0,0,0,0,0
AR2004Q2,AR,2004-Q2,1/4/2004,-0.159603134,0.031642345,1.439095179,0.033689716,3.283092316,-0.006600463,0.070740489,0.04008711,0.035068146,0.333,4.341666667,-0.057413643,0.0101,-0.026023135,1,0,0,0,0,0,0,0,0
AR2004Q3,AR,2004-Q3,1/7/2004,-0.10981589,0.036294272,1.413771382,0.026414984,3.053696028,-0.013415694,0.016350635,0.052360752,0.032515441,0.323,4.296428571,-0.015868714,0.014333333,-0.049768107,1,0,0,0,0,0,0,0,0
AR2004Q4,AR,2004-Q4,1/10/2004,-0.070966428,0.05231821,1.372076274,0.019912443,3.119172712,-0.012711423,-0.003261835,0.055876893,0.031592599,0.306,3.358064516,0.133423959,0.0195,-0.123272119,1,0,0,0,0,0,0,0,0
AR2005Q1,AR,2005-Q1,1/1/2005,-0.075044965,0.034578621,1.394015483,0.016652992,2.840043518,-0.016854576,0.072187868,0.078530748,0.033751275,0.285,3.475862069,0.102091504,0.0247,-0.065398217,1,0,0,0,0,0,0,0,0
AR2005Q2,AR,2005-Q2,1/4/2005,-0.092347979,0.046441261,1.238574285,0.015499315,0.511439406,-0.003874905,0.130779807,0.084207221,0.032976685,0.275,2.659459459,-0.004870435,0.029433333,0.047369722,1,0,0,0,0,0,0,0,0
AR2005Q3,AR,2005-Q3,1/7/2005,-0.099698702,0.057288054,1.417751506,0.021705851,0.480069465,0.004430466,0.069719779,0.093890374,0.031923964,0.261,2.495348837,0.107140755,0.0346,-0.090212887,1,0,0,0,0,0,0,0,0
AR2005Q4,AR,2005-Q4,1/10/2005,-0.086742744,0.015093037,1.33386229,0.026411004,0.507375666,0.00557338,0.077828945,0.110465104,0.032069769,0.254,2.347916667,0.071327637,0.0398,0.042428351,1,0,0,0,0,0,0,0,0
AR2006Q1,AR,2006-Q1,1/1/2006,-0.077833903,0.051813346,1.349853765,0.028208771,0.538085812,0.013581302,0.078495711,0.109408714,0.032357816,0.249,2.156140351,0.155234137,0.044566667,-0.059582699,1,0,0,0,0,0,0,0,0
AR2006Q2,AR,2006-Q2,1/4/2006,-0.08643408,0.01966941,1.312268753,0.02811097,0.48395637,0.008971151,0.055715853,0.107856143,0.031181497,0.243,1.993939394,0.020202419,0.049066667,0.187692717,1,0,0,0,0,0,0,0,0
AR2006Q3,AR,2006-Q3,1/7/2006,-0.094874675,0.041063204,1.309780848,0.025109508,0.495300228,0.004100257,0.093804903,0.100685004,0.031455091,0.238,1.913043478,-0.027720229,0.052466667,-0.06547489,1,0,0,0,0,0,0,0,0
AR2006Q4,AR,2006-Q4,1/10/2006,-0.111011424,0.054495717,1.311146115,0.027905639,0.436973652,0.009898837,0.096770404,0.096355602,0.032064507,0.234,1.863768116,0.103190329,0.052466667,-0.209588342,1,0,0,0,0,0,0,0,0
AR2007Q1,AR,2007-Q1,1/1/2007,-0.112636706,0.024638741,1.231717157,0.026344635,0.375866728,0.00975035,0.083589411,0.093421131,0.028672412,0.229,1.679166667,0.07063538,0.052566667,0.129739419,1,0,0,0,0,0,0,0,0
AR2007Q2,AR,2007-Q2,1/4/2007,-0.119517789,0.056089729,1.263000688,0.025332316,0.352816104,0.021103452,0.098593874,0.123929146,0.030654316,0.225,1.727142857,0.100797714,0.0525,0.088917674,1,0,0,0,0,0,0,0,0
